,规则,rule,任务,检测规则,重要程度,规则标签,描述,description,Noncompliant Code Example,Compliant Solution,rule status,see
1,不能使用“<>”来检测不相等,"""<>"" should not be used to test inequality",5min,坏味道, 主要,obsolete淘汰的,表格<>和！=是相同的。 但是在Python 2.7.3中，<>表单被认为是过时的。,The forms <> and != are equivalent. But in Python 2.7.3 the <> form is considered obsolete.,return a <> b # Noncompliant,return a != b,,
2,“\”只能用作原始字符串外部的转义字符,"""\"" should only be used as an escape character outside of raw strings",2min,Bug, 主要,/,“通常情况下，反斜杠只被看作是转义序列的一部分，因此，在原始字符串或转义序列之外使用反斜线看起来像一个破坏的转义序列。,"Typically, backslashes are seen only as part of escape sequences. Therefore, the use of a backslash outside of a raw string or escape sequence looks suspiciously like a broken escape sequence.
","s = ""Hello \world.""t = ""Nice to \ meet you""

","s = ""Hello world.""",,
,,,,,,,识别为可转义的字符是：abfnrtvox \'“,"Characters recognized as escape-able are: abfnrtvox\'""","t = ""Nice to \ meet you""","t = ""Nice to \\ meet you""",,
,,,,,,,,,"u = ""Let's have \ lunch""","u = r""Let's have \ lunch""  // raw string",,
3,"“__exit__”应该接受 type, value, 和traceback参数","""__exit__"" should accept type, value, and traceback arguments",5min,Bug,阻断,/,__exit__方法用四个参数调用：self，type，value和traceback。 在方法声明中不包含其中的一个，运行时结果将是TypeError。,"The __exit__ method is invoked with four arguments: self, type, value and traceback. Leave one of these out of the method declaration and the result will be a TypeError at runtime.","class MyClass:
   def __enter__(self):
       pass
   def __exit__(self, exc_type, exc_val):  # Noncompliant
       pass
",,,
4,,"""__init__"" should not return a value",5min,Bug,阻断,/,,"By contract, every Python function returns something, even if it's the None value, which can be returned implicitly by omitting the return statement, or explicitly.
The __init__ method is required to return None. A TypeError will be raised if the __init__ method either yields or returns any expression other than None. Returning some expression that evaluates to None will not raise an error, but is considered bad practice.","class MyClass(object):
    def __init__(self):
        self.message = 'Hello'
        return self  # Noncompliant","class MyClass(object):
    def __init__(self):
        self.message = 'Hello'",,
,,,,,,,,,,,,
5,,"""break"" and ""continue"" should not be used outside a loop",10min,Bug,严重,/,,"break and continue are unstructured control flow statements which make code harder to read. Additionally, more recent versions of Python raise a SyntaxError when modules containing break or continue outside of a loop are imported.
Therefore, these statements should not be used outside of loops.","narg=len(sys.argv)
if narg == 1:
        print('@Usage: input_filename nelements nintervals')
        break
","if narg == 1:
        print('@Usage: input_filename nelements nintervals')
        sys.exit()",,
,,,,,,,,,,,,
6,,"""pass"" should not be used needlessly",2min,坏味道,次要,unused,,The use of a pass statement where it's not required by the syntax is pure cruft and should be removed.,"    def __init__(self, log="""", who="""", date=0, files=[]):
        self.log = log
        self.files = files
        self.who = who
        self.date = date
        pass    # Noncompliant

    def lookup():
        pass    # Compliant; method can't be empty","    def __init__(self, log="""", who="""", date=0, files=[]):
        self.log = log
        self.files = files
        self.who = who
        self.date = date

    def lookup():
        pass",,
7,,"""return"" and ""yield"" should not be used in the same function",15min,Bug,阻断,/,,"Functions that use yield are known as ""generators"", and generators cannot return values. Similarly, functions that use return cannot use yield. Doing so will cause a SyntaxError.","def adder(n):
     num = 0
     while num < n:
         yield num
         num += 1
     return num  #Noncompliant",,,
8,,"""yield"" and ""return"" should not be used outside functions",15min,Bug,阻断,/,,"yield and return only make sense in the context of functions. Using them outside a function raises a SyntaxError. To break out of a loop, use break instead.","class MyClass:
    while True:
        return False #Noncompliant",,,
9,,"__exit__ must accept 3 arguments: type, value, traceback",10min,坏味道,次要,/,,"Used when the __exit__ special method, belonging to a context manager, does not accept 3 arguments (type, value, traceback).
This rule was added in Pylint 1.1.0.
This rule is deprecated, use 3 instead.",,,DEPRECATED,
,,,,,,,,,,,,
,,,,,,,,,,,,
10,,__future__ import is not the first non docstring statement,10min,坏味道,次要,/,,Python 2.5 and greater require __future__ import to be the first non docstring statement in the module.,,,,
11,,__init__ method from a non direct base class is called,2h,坏味道,次要,/,,Used when an __init__ method is called on a class which is not in the direct ancestors for the analysed class.,,,,
12,,__init__ method from base class is not called,20min,坏味道,次要,/,,Used when an ancestor class method has an __init__ method which is not called by a derived class.,,,,
13,,__init__ method is a generator,30min,坏味道,主要,/,,"Used when the special class method __init__ is turned into a generator by a yield in its body.
The __init__() method is required to return nothing. Python 2.7 and 3.x raise a TypeError when __init__() is called and executes a yield statement. Pylint reports this error without depending on the actual invocation.
This rule is deprecated, use 4 instead.",,,DEPRECATED,
,,,,,,,,,,,,
,,,,,,,,,,,,
